wkb_geometry;codice;strada;desvia;fumetto;vifraz;sensouni;tipo_arco;tipo_cod;tipo_stra
"LINESTRING (667921.12 5105507.0,667398.38 5105416.0,667278.31 5105394.0,667241.06 5105385.0,667206.19 5105374.0,667175.06 5105362.0,667152.25 5105351.5,667137.44 5105344.0,667115.62 5105331.5,667094.56 5105318.0,667080.94 5105308.5,667061.12 5105293.0,667035.94 5105271.0,667024.0 5105259.5,666957.38 5105191.5,666942.25 5105176.5,666911.19 5105147.5,666895.25 5105133.5,666862.75 5105106.5,666829.25 5105080.0,666804.12 5105061.5,666691.44 5104988.0,666672.62 5104976.0,666644.38 5104960.0)";0;0;;;TRENTO;1;;1;SS 47 della Valsugana
"LINESTRING (667219.19 5105682.5,667275.88 5105750.5,667284.75 5105764.5,667288.25 5105775.0,667290.12 5105787.0,667289.5 5105797.5,667287.0 5105809.5,667281.71 5105819.88,667274.62 5105829.0,667266.0 5105836.5,667259.92 5105840.85,667254.31 5105843.5,667243.19 5105847.5,667229.88 5105851.0,667202.56 5105860.0,667163.88 5105872.0,667128.0 5105883.5,667115.41 5105887.36,667107.76 5105889.26,667100.95 5105890.47,667091.26 5105891.38,667085.02 5105891.0)";6428;6428;VIA PER VILLAMONTAGNA;VIA PER VILLAMONTAGNA;TRENTO;0;PRINCIPALE;0;
"LINESTRING (662895.99 5098259.05,662899.24 5098257.35,662921.12 5098251.0,662926.18 5098250.17)";8940;8940;VIA DI SANTA BRIGIDA;VIA DI SANTA BRIGIDA;TRENTO;0;;0;
"LINESTRING (664586.38 5110087.5,664608.25 5110105.5,664613.31 5110109.0,664618.72 5110110.64,664625 5110111,664645.31 5110106.5)";8415;8415;VIA CASTEL DI CORTESANO;VIA CASTEL DI CORTESANO;TRENTO;0;;0;
"LINESTRING (664667.94 5103686.0,664659.69 5103690.0,664638.25 5103699.5,664634.94 5103701.0,664633.25 5103701.7,664623.51 5103705.33)";1400;1400;VIA DON GIUSEPPE GRAZIOLI;VIA DON GIUSEPPE GRAZIOLI;TRENTO;1;PRINCIPALE;0;
"LINESTRING (664645.31 5110106.5,664681.38 5110098.5,664692.94 5110097.0,664696.94 5110097.0,664702.81 5110098.0,664706.56 5110099.5,664710.81 5110102.0,664726.62 5110114.0,664728.17 5110114.71,664730.1 5110115.1,664732 5110115,664733.94 5110114.5,664745.38 5110108.0,664759.37 5110106.5,664762.12 5110102.5,664765.25 5110094.5,664766.88 5110089.0,664771.75 5110066.0,664779.44 5110045.76,664782.25 5110036.88,664790.69 5110013.5)";8415;8415;VIA CASTEL DI CORTESANO;VIA CASTEL DI CORTESANO;TRENTO;0;;0;
"LINESTRING (666009.94 5104729.0,666049.0 5104731.5,666071.82 5104735.88,666085.05 5104739.11,666101.51 5104745.87,666113.0 5104752.5,666215.58 5104815.88)";6400;6400;VIA ALLA VEDUTA;VIA ALLA VEDUTA;TRENTO;0;;0;
"LINESTRING (666314.45 5104689.57,666296.62 5104679.48,666280.74 5104667.12,666264.85 5104651.22)";0;0;;;TRENTO;1;;1;SS 47 della Valsugana
"LINESTRING (666740 5101854,666743.69 5101850.0,666751.5 5101843.5)";7115;7115;VIA DELLA ZIVERANA;VIA DELLA ZIVERANA;TRENTO;0;;0;
"LINESTRING (665242.6 5104239.21,665229.37 5104233.49,665225.23 5104233.1)";6470;6470;VIA PER L'OSSERVATORIO;VIA PER L'OSSERVATORIO;TRENTO;0;;0;
